"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","HubSpot defined","Created user","Usages","Fill rate","Last Updated Time","Update Source"
"Record source detail 1","hs_object_source_detail_1","string","First level of detail on how this record was created.","cart_information","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Record source detail 2","hs_object_source_detail_2","string","Second level of detail on how this record was created.","cart_information","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Record source detail 3","hs_object_source_detail_3","string","Third level of detail on how this record was created.","cart_information","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Record source","hs_object_source_label","enumeration","How this record was created.","cart_information","false","","true","true","false","true","false","true","HubSpot","","0%","",""
"Referring Site","hs_referring_site","string","The URL of the site that the customer came from to arrive at the sellers site prior to placing their order.","cart_information","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Shipping City","hs_shipping_address_city","string","The city for the shipping address.","cart_information","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Shipping Country","hs_shipping_address_country","string","The country for the shipping address.","cart_information","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Shipping Phone Number","hs_shipping_address_phone","string","The phone number for the shipping address.","cart_information","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Shipping ZIP/Postal Code","hs_shipping_address_postal_code","string","The ZIP/postal code for the shipping address.","cart_information","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Shipping State","hs_shipping_address_state","string","The state for the shipping address.","cart_information","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Shipping Street","hs_shipping_address_street","string","The street for the shipping address.","cart_information","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Source Store","hs_source_store","string","Data used to identify which store the order came from.","cart_information","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Tags","hs_tags","string","A collection of tag strings associated with the order.","cart_information","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Total Weight","hs_total_weight","string","The total weight of the order for shipping purposes.","cart_information","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Updated by user ID","hs_updated_by_user_id","number","The user who last updated this record. This value is set automatically by HubSpot.","cart_information","false","","true","true","false","true","false","true","HubSpot","","0%","",""
"Owner assigned date","hubspot_owner_assigneddate","datetime","The most recent timestamp of when an owner was assigned to this record. This value is set automatically by HubSpot.","cart_information","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Owner","hubspot_owner_id","enumeration","The owner of the object.","cart_information","false","","false","true","false","true","false","true","HubSpot","","0%","",""
"Owner's main team","hubspot_team_id","enumeration","The main team of the record owner. This value is set automatically by HubSpot.","cart_information","false","","true","true","false","true","false","true","HubSpot","","0%","",""
"Cart Discount","hs_cart_discount","number","Amount of discount on the cart","cart_value","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Currency Code","hs_currency_code","enumeration","The currency code used in the cart.","cart_value","false","","false","true","false","true","false","true","HubSpot","","0%","",""
"Discount Codes","hs_discount_codes","string","Discount Codes on a cart.","cart_value","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Amount in company currency","hs_homecurrency_amount","number","The amount of the cart, using the exchange rate, in your company's currency","cart_value","false","","false","true","true","false","false","true","HubSpot","","0%","",""
"Shipping Cost","hs_shipping_cost","number","The base cost (i.e. undiscounted), in the orders associated currency, associated with shipping the order.","cart_value","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Subtotal Price","hs_subtotal_price","number","Total order amount before discounts, tax, duties etc. ","cart_value","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Tax Price","hs_tax","number","Tax amount associated with the order, including duties.","cart_value","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Total Price","hs_total_price","number","Sum Total amount associated with this order. ","cart_value","false","","false","true","false","false","false","true","HubSpot","","0%","",""
