"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","HubSpot defined","Created user","Usages","Fill rate","Last Updated Time","Update Source"
"Next Meeting","hs_next_meeting_id","number","","dealinformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Next Meeting Name","hs_next_meeting_name","string","","dealinformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Next Meeting Start Time","hs_next_meeting_start_time","datetime","","dealinformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Next step","hs_next_step","string","A short description of the next step for the deal","dealinformation","false","","false","true","false","false","false","true","HubSpot","Dependent conditional field (2)","0.59%","4/4/25 3:21 PM EDT","CRM UI"
"Number of Associated Line Items","hs_num_of_associated_line_items","number","The number of line items associated with this deal","dealinformation","false","","true","true","true","false","false","true","HubSpot","","100%","2/19/26 2:37 PM EST","HubSpot Calculation"
"Record ID","hs_object_id","number","The unique ID for this record. This value is set automatically by HubSpot.","dealinformation","false","","true","true","false","false","false","true","HubSpot","Automation platform flow (1); Flow action (1); Email (3)","100%","2/19/26 2:37 PM EST","CRM UI"
"Record source detail 1","hs_object_source_detail_1","string","First level of detail on how this record was created.","dealinformation","false","","true","true","false","false","false","true","HubSpot","","13.02%","2/16/26 11:05 AM EST","HubSpot Processing"
"Record source detail 2","hs_object_source_detail_2","string","Second level of detail on how this record was created.","dealinformation","false","","true","true","false","false","false","true","HubSpot","","11.83%","2/10/26 9:49 PM EST","HubSpot Processing"
"Record source detail 3","hs_object_source_detail_3","string","Third level of detail on how this record was created.","dealinformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Record source","hs_object_source_label","enumeration","How this record was created.","dealinformation","false","","true","true","false","true","false","true","HubSpot","","100%","2/19/26 2:37 PM EST","CRM UI"
"Priority","hs_priority","enumeration","","dealinformation","false","Low (low); Medium (medium); High (high)","false","true","false","false","false","true","HubSpot","","0.59%","2/19/26 2:37 PM EST","CRM UI"
"Weighted amount","hs_projected_amount","number","Returns the multiplication of the amount times the probability of the deal closing.","dealinformation","false","","true","true","false","false","false","true","HubSpot","","94.67%","2/19/26 2:37 PM EST","HubSpot Calculation"
"Weighted amount in company currency","hs_projected_amount_in_home_currency","number","The deal’s amount in home currency multiplied by its probability of closing, which is determined based on the deal’s stage and the probability that was assigned to it in deal pipeline settings.","dealinformation","false","","true","true","false","false","false","true","HubSpot","","94.67%","2/19/26 2:37 PM EST","HubSpot Calculation"
