"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","HubSpot defined","Created user","Usages","Fill rate","Last Updated Time","Update Source"
"Street Address","address","string","The street address of the company or organization, including unit number. Powered by HubSpot Insights.","companyinformation","true","","false","true","false","false","false","true","HubSpot","Form (1); Automation platform flow (1)","91.34%","2/13/26 2:30 PM EST","CRM UI"
"Street Address 2","address2","string","The additional address of the company or organization. Powered by HubSpot Insights.","companyinformation","true","","false","true","false","false","false","true","HubSpot","Form (1)","0.93%","",""
"Annual Revenue","annualrevenue","number","The actual or estimated annual revenue of the company. Powered by HubSpot Insights.","companyinformation","true","","false","true","false","false","false","true","HubSpot","","7.73%","1/12/26 5:12 PM EST","Record Merge"
"Associated Office","associated_office","enumeration","The Alpha office associated with this company relationship.","companyinformation","true","Global; Corporate; Chicago; Iowa","false","false","false","false","false","false","Lucas Graham","","72.8%","2/13/26 2:25 PM EST","CRM UI"
"Average Residual","average_residual","number","The average residual within the past 12 months.","companyinformation","false","","true","false","true","false","false","false","Lucas Graham","","0%","",""
"City","city","string","The city where the company is located. Powered by HubSpot Insights.","companyinformation","true","","false","true","false","false","false","true","HubSpot","Form (1); Automation platform flow (2)","91.96%","2/12/26 1:39 PM EST","Mobile iOS"
"Client Anniversary Date","client_anniversary_date","date","The date that the client went live with our platform.","companyinformation","true","","false","false","false","false","false","false","Lucas Graham","Automation platform flow (1); Dependent conditional field (1)","24.27%","2/13/26 2:30 PM EST","CRM UI"
"Close Date","closedate","datetime","The date the company or organization was closed as a customer","companyinformation","false","","false","true","false","false","false","true","HubSpot","","50.23%","2/19/26 1:05 PM EST","Deals"
"Country/Region","country","string","The country/region in which the company or organization is located.","companyinformation","true","","false","false","false","false","false","true","HubSpot","","20.71%","1/15/26 4:32 AM EST","Data Enrichment"
"Create Date","createdate","datetime","The date the company or organization was added to the database","companyinformation","false","","true","true","false","false","false","true","HubSpot","","100%","2/12/26 1:39 PM EST","Mobile iOS"
"Current POS","current_pos","enumeration","","companyinformation","true","UNKNOWN; None; Toast; Aloha Purchase; Aloha PaaS; Aloha Essentials (Aloha); Aloha Cloud; SpotOn RPOS (SpotOn); SpotOn Express; SkyTab (SkyTab POS) [HIDDEN]; Square; Clover; Upserve/Lightspeed; Lavu; Micros; Microsale; Focus; TouchBistro; HungerRush; HarborTouch; Cake; Revel; PosiTouch; Future; Maitre’D; Aldelo; Talech; Restaurant Manager; PAR Brink; Heartland; QU; Tabbit; Cash Register; NX; Winston; Other [HIDDEN]; SkyTab POS (SkyTab); RPower; NX Restaurant; QSR Only; AirCharge; Other - Miscellaneous","false","false","false","false","false","false","Lucas Graham","Inbounddb lists (5); Automation platform flow (1); Dependent conditional field (2)","84.23%","2/13/26 1:59 PM EST","CRM UI"
"Description","description","string","A short statement about the company's mission and goals. Powered by HubSpot Insights.","companyinformation","true","","false","true","false","false","false","true","HubSpot","Dependent conditional field (1)","15.61%","1/22/26 4:51 AM EST","Data Enrichment"
"Company Domain Name","domain","string","The domain name of the company or organization","companyinformation","true","","false","true","false","false","false","true","HubSpot","","31.68%","2/12/26 2:38 PM EST","CRM UI"
"Email","email","string","","companyinformation","true","","false","false","false","false","false","false","Lucas Graham","","2.94%","1/2/26 12:19 PM EST","CRM UI"
"Date of last meeting booked in meetings tool","engagements_last_meeting_booked","datetime","The date of the most recent meeting an associated contact has booked through the meetings tool.","companyinformation","false","","true","true","false","false","false","true","HubSpot","","1.39%","",""
"Medium of last booking in meetings tool","engagements_last_meeting_booked_medium","string","This UTM parameter shows which channel (e.g. email) referred an associated contact to the meetings tool for their most recent booking. This property is only populated when you add tracking parameters to your meeting link.","companyinformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Source of last booking in meetings tool","engagements_last_meeting_booked_source","string","This UTM parameter shows which site (e.g. Twitter) referred an associated contact to the meetings tool for their most recent booking. This property is only populated when you add tracking parameters to your meeting link.","companyinformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"First Contact Create Date","first_contact_createdate","datetime","The date that the first contact from this company entered the system, which could pre-date the company's create date","companyinformation","false","","true","true","false","false","false","true","HubSpot","","91.65%","2/19/26 1:05 PM EST","HubSpot Calculation"
"First Deal Created Date","first_deal_created_date","datetime","The create date of the first deal associated with this company record.","companyinformation","false","","true","true","false","false","false","true","HubSpot","","27.67%","2/19/26 1:05 PM EST","HubSpot Processing"
"Year Founded","founded_year","string","The year the company was created. Powered by HubSpot Insights.","companyinformation","true","","false","true","false","false","false","true","HubSpot","","5.26%","1/22/26 4:51 AM EST","Data Enrichment"
"Latest Traffic Source","hs_analytics_latest_source","enumeration","Source of the last session attributed to any contacts that are associated with this company","companyinformation","false","Organic Search (ORGANIC_SEARCH); Paid Search (PAID_SEARCH); Email Marketing (EMAIL_MARKETING); Organic Social (SOCIAL_MEDIA); Referrals (REFERRALS); Other Campaigns (OTHER_CAMPAIGNS); Direct Traffic (DIRECT_TRAFFIC); Offline Sources (OFFLINE); Paid Social (PAID_SOCIAL); AI Referrals (AI_REFERRALS)","true","true","false","false","false","true","HubSpot","","100%","2/19/26 1:20 PM EST","HubSpot Calculation"
"Latest Traffic Source Data 1","hs_analytics_latest_source_data_1","string","Additional source details of the last session attributed to any contacts that are associated with this company","companyinformation","false","","true","true","false","false","false","true","HubSpot","","100%","2/19/26 1:20 PM EST","HubSpot Calculation"
"Latest Traffic Source Data 2","hs_analytics_latest_source_data_2","string","Additional source details of the last session attributed to any contacts that are associated with this company","companyinformation","false","","true","true","false","false","false","true","HubSpot","","100%","2/19/26 1:20 PM EST","HubSpot Calculation"
"Latest Traffic Source Timestamp","hs_analytics_latest_source_timestamp","datetime","Timestamp of when latest source occurred","companyinformation","false","","true","true","false","false","false","true","HubSpot","","100%","2/19/26 1:20 PM EST","HubSpot Calculation"
"Country/Region Code","hs_country_code","string","Two-letter country code for the company headquarters location.","companyinformation","false","","false","false","false","false","false","true","HubSpot","","4.64%","1/15/26 4:32 AM EST","Data Enrichment"
"Created by user ID","hs_created_by_user_id","number","The user who created this record. This value is set automatically by HubSpot.","companyinformation","false","","true","true","false","true","false","true","HubSpot","","100%","2/19/26 1:04 PM EST","HubSpot Processing"
"Employee range","hs_employee_range","string","Numeric range of company's employees. Useful for segmenting companies by size.","companyinformation","false","","false","false","false","false","false","true","HubSpot","","3.25%","1/15/26 4:32 AM EST","Data Enrichment"
"Industry group","hs_industry_group","string","Second tier of company industry classification.","companyinformation","false","","false","false","false","false","false","true","HubSpot","","5.1%","1/22/26 4:51 AM EST","Data Enrichment"
"Has been enriched","hs_is_enriched","bool","Indicates whether this object has ever had enriched properties written to it.","companyinformation","false","Yes (true); No (false)","true","true","false","false","false","true","HubSpot","","24.27%","2/19/26 1:04 PM EST","Data Enrichment"
