"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","HubSpot defined","Created user","Usages","Fill rate","Last Updated Time","Update Source"
"Presentment to settlement currency exchange rate","hs_presentment_to_settlement_currency_exchange_rate","number","The exchange rate between the presentment and settlement currencies at the time of payment object creation, if applicable.","commerce_payment_information","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Processor","hs_processor_type","enumeration","The processor used to collect the payment.","commerce_payment_information","false","HubSpot Payments (hs_payments) [READ-ONLY]; Stripe (byo_stripe) [READ-ONLY]; None (none) [READ-ONLY]; QuickBooks Online (quickbooks) [READ-ONLY]; Xero (xero) [READ-ONLY]","false","false","false","false","false","true","HubSpot","","0%","",""
"Reference number","hs_reference_number","string","The reference number associated with the external payment","commerce_payment_information","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Refunded amount","hs_refunds_amount","number","The total amount refunded to the customer.","commerce_payment_information","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Refunded amount in company currency","hs_refunds_amount_in_portal_currency","number","The total amount refunded to the customer in the portal's default currency.","commerce_payment_information","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Refunded amount in settlement currency","hs_refunds_amount_in_settlement_currency","number","The total amount refunded to the customer in the settlement currency.","commerce_payment_information","false","","true","true","true","false","false","true","HubSpot","","0%","",""
"Settlement currency code","hs_settlement_currency_code","enumeration","The currency code that the merchant's payments will settle in.","commerce_payment_information","false","","false","true","false","true","false","true","HubSpot","","0%","",""
"Shipping address city","hs_shipping_address_city","string","The city the customer entered for shipping.","commerce_payment_information","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Shipping address country","hs_shipping_address_country","string","The country the customer entered for shipping.","commerce_payment_information","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Shipping address line 1","hs_shipping_address_line_1","string","The street address the customer entered for shipping.","commerce_payment_information","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Shipping address line 2","hs_shipping_address_line_2","string","The apartment, unit number, or building the customer entered for shipping. This is an optional field.","commerce_payment_information","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Shipping address state","hs_shipping_address_state","string","The state the customer entered for shipping.","commerce_payment_information","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Shipping address zip","hs_shipping_address_zip","string","The zip code the customer entered for shipping.","commerce_payment_information","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Shipping name","hs_shipping_ship_to_name","string","The name the customer entered for shipping.","commerce_payment_information","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Amount paid","hs_total_collected_amount_after_refunds","number","The total amount collected from the customer after refunds if any.","commerce_payment_information","false","","true","true","true","false","false","true","HubSpot","","0%","",""
"Amount paid in company currency","hs_total_collected_amount_after_refunds_in_portal_currency","number","The total amount collected from the customer after refunds if any, in the portal's default currency.","commerce_payment_information","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Total Fees","hs_total_collected_fees_amount","number","The sum of all collected fees in a single payment charged by a merchant.","commerce_payment_information","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Total fees in company currency","hs_total_collected_fees_amount_in_portal_currency","number","The sum of all collected fees in a single payment charged by a merchant, in the portal's default currency.","commerce_payment_information","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Total Taxes","hs_total_collected_tax_amount","number","The sum of all collected taxes in a single payment charged by a merchant.","commerce_payment_information","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Total taxes in company currency","hs_total_collected_tax_amount_in_portal_currency","number","The sum of all collected taxes in a single payment charged by a merchant, in the portal's default currency.","commerce_payment_information","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Total discount amount","hs_total_discounts_amount","number","","commerce_payment_information","false","","true","true","true","false","false","true","HubSpot","","0%","",""
"Total discount amount in company currency","hs_total_discounts_amount_in_portal_currency","number","","commerce_payment_information","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Updated by user ID","hs_updated_by_user_id","number","The user who last updated this record. This value is set automatically by HubSpot.","commerce_payment_information","false","","true","true","false","true","false","true","HubSpot","","0%","",""
"Owner assigned date","hubspot_owner_assigneddate","datetime","The most recent timestamp of when an owner was assigned to this record. This value is set automatically by HubSpot.","commerce_payment_information","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Owner","hubspot_owner_id","enumeration","The owner of the object.","commerce_payment_information","false","","false","true","false","true","false","true","HubSpot","","0%","",""
