"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","HubSpot defined","Created user","Usages","Fill rate","Last Updated Time","Update Source"
"Tax category","hs_tax_category","enumeration","The tax category used to determine what amount of tax to automatically apply to this line item","lineiteminformation","false","","false","true","false","true","false","true","HubSpot","","0%","",""
"Updated by user ID","hs_updated_by_user_id","number","The user who last updated this record. This value is set automatically by HubSpot.","lineiteminformation","false","","true","true","false","true","false","true","HubSpot","","0%","",""
"URL","hs_url","string","Product url.","lineiteminformation","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Variant id of the product","hs_variant_id","number","Variant id of the shopify product","lineiteminformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Owner assigned date","hubspot_owner_assigneddate","datetime","The most recent timestamp of when an owner was assigned to this record. This value is set automatically by HubSpot.","lineiteminformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Owner","hubspot_owner_id","enumeration","The owner of the object.","lineiteminformation","false","","false","true","false","true","false","true","HubSpot","","0%","",""
"Owner's main team","hubspot_team_id","enumeration","The main team of the record owner. This value is set automatically by HubSpot.","lineiteminformation","false","","true","true","false","true","false","true","HubSpot","","0%","",""
"Name","name","string","Product name","lineiteminformation","false","","false","true","false","false","false","true","HubSpot","Automation platform flow (1)","0%","",""
"Quickbooks Income Account","quickbooks_income_account","enumeration","","lineiteminformation","true","Software and Hardware Bundle Income; Software Revenue Income; H&A Lease Income; H&A Purchase Income; Services Income; Service Support Income; Software Subscription Only Income","false","true","false","false","false","false","Lucas Graham","","0%","",""
"Shift4 Provided","shift4_provided","enumeration","","lineiteminformation","true","Yes (true); No (false)","false","false","false","false","false","false","Lucas Graham","Rollup property (2)","0%","",""
"Vendor Billed","vendor_billed","number","The amount of this item billed by the vendor.","lineiteminformation","true","","false","true","false","false","false","false","Lucas Graham","","0%","",""
"Net price","amount","number","The amount of a line item","price","false","","true","true","true","false","false","true","HubSpot","Rollup property (3)","0%","",""
"Unit discount","discount","number","The discount amount applied","price","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Discount Instructions","discount_instructions","string","","price","true","","false","true","false","false","false","false","Lucas Graham","","0%","",""
"Annual contract value","hs_acv","number","The annual contract value (ACV) of this product","price","false","","true","true","true","false","false","true","HubSpot","","0%","",""
"Annual recurring revenue","hs_arr","number","The annual recurring revenue (ARR) of this product","price","false","","true","true","true","false","false","true","HubSpot","","0%","",""
"Unit cost","hs_cost_of_goods_sold","number","The amount that sold goods cost the HubSpot customer","price","false","","false","true","false","false","false","true","HubSpot","Rollup property (1)","0%","",""
"Discount percentage","hs_discount_percentage","number","The discount percentage applied","price","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Effective unit price","hs_effective_unit_price","number","Price that gets applied to this line item when volume tier pricing is used","price","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Margin","hs_margin","number","The margin value of this product","price","false","","true","true","true","false","false","true","HubSpot","Rollup property (3)","0%","",""
"Annual contract value margin","hs_margin_acv","number","The margin annual contract value of this product","price","false","","true","true","true","false","false","true","HubSpot","","0%","",""
