"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","HubSpot defined","Created user","Usages","Fill rate","Last Updated Time","Update Source"
"Record source detail 2","hs_object_source_detail_2","string","Second level of detail on how this record was created.","order_information","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Record source detail 3","hs_object_source_detail_3","string","Third level of detail on how this record was created.","order_information","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Record source","hs_object_source_label","enumeration","How this record was created.","order_information","false","","true","true","false","true","false","true","HubSpot","","0%","",""
"Order Business Type","hs_order_business_type","enumeration","The type of Order. By default, categorize your order as either a New Business or Existing Business. Set automatically by HubSpot when an order is closed.","order_information","false","New Business (new_business); Existing Business (existing_business)","true","true","false","false","false","true","HubSpot","","0%","",""
"Name","hs_order_name","string","Unique ID as represented by a number.","order_information","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Notes","hs_order_note","string","A block of text associated with the order.","order_information","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Payment Processing Method","hs_payment_processing_method","string","Type of payment processing method.","order_information","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Payment Status","hs_payment_status","string","Current Payment status of the order.","order_information","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Pipeline","hs_pipeline","enumeration","The pipeline that contains this order","order_information","true","","false","true","false","true","false","true","HubSpot","","0%","",""
"Stage","hs_pipeline_stage","enumeration","The order pipeline stage.","order_information","false","","false","true","false","true","false","true","HubSpot","","0%","",""
"Processed Date","hs_processed_date","datetime","The date/time the order was imported into HubSpot.","order_information","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Referring Site","hs_referring_site","string","The URL of the site that the customer came from to arrive at the sellers site prior to placing their order.","order_information","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Shipping City","hs_shipping_address_city","string","The city for the shipping address.","order_information","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Shipping Country","hs_shipping_address_country","string","The country for the shipping address.","order_information","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Shipping Address Customer Name","hs_shipping_address_name","string","Customer's full name from shipping information","order_information","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Shipping Phone Number","hs_shipping_address_phone","string","The phone number for the shipping address.","order_information","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Shipping ZIP/Postal Code","hs_shipping_address_postal_code","string","The ZIP/postal code for the shipping address.","order_information","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Shipping State","hs_shipping_address_state","string","The state for the shipping address.","order_information","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Shipping Street","hs_shipping_address_street","string","The street for the shipping address.","order_information","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Shipping Status URL","hs_shipping_status_url","string","URL to Shipping status for the order.","order_information","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Shipping Tracking Number","hs_shipping_tracking_number","string","List of Shipment tracking IDs associated with the order.","order_information","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Source Store","hs_source_store","string","Data used to identify which store the order came from.","order_information","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Tags","hs_tags","string","A collection of tag strings associated with the order.","order_information","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Total Weight","hs_total_weight","string","The total weight of the order for shipping purposes.","order_information","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Updated by user ID","hs_updated_by_user_id","number","The user who last updated this record. This value is set automatically by HubSpot.","order_information","false","","true","true","false","true","false","true","HubSpot","","0%","",""
"Owner assigned date","hubspot_owner_assigneddate","datetime","The most recent timestamp of when an owner was assigned to this record. This value is set automatically by HubSpot.","order_information","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Owner","hubspot_owner_id","enumeration","The owner of the object.","order_information","false","","false","true","false","true","false","true","HubSpot","","0%","",""
"Discount Codes","hs_discount_codes","string","Discount Codes on an order.","order_revenue","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Amount in company currency","hs_homecurrency_amount","number","The amount of the order, using the exchange rate, in your company's currency","order_revenue","false","","false","true","true","false","false","true","HubSpot","","0%","",""
"Discount","hs_order_discount","number","Total Discount on an order as an amount.","order_revenue","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Refund Amount","hs_refund_amount","number","Refunded amount, if any, associated with an order.","order_revenue","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Shipping Cost","hs_shipping_cost","number","The base cost (i.e. undiscounted), in the orders associated currency, associated with shipping the order.","order_revenue","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Subtotal Price","hs_subtotal_price","number","Total order amount before discounts, tax, duties etc. ","order_revenue","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Tax Price","hs_tax","number","Tax amount associated with the order, including duties.","order_revenue","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Total Price","hs_total_price","number","Sum Total amount associated with this order. ","order_revenue","false","","false","true","false","false","false","true","HubSpot","","0%","",""
