"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","HubSpot defined","Created user","Usages","Fill rate","Last Updated Time","Update Source"
"Object create date/time","hs_createdate","datetime","The date and time at which this object was created. This value is automatically set by HubSpot and may not be modified.","productinformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Image Url","hs_images","string","Product images.","productinformation","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Last Modified Date","hs_lastmodifieddate","datetime","The date any property on this product was modified","productinformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Merged record IDs","hs_merged_object_ids","enumeration","The list of record IDs that have been merged into this record. This value is set automatically by HubSpot.","productinformation","false","","true","true","false","true","false","true","HubSpot","","0%","",""
"Record ID","hs_object_id","number","The unique ID for this record. This value is set automatically by HubSpot.","productinformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Record source detail 1","hs_object_source_detail_1","string","First level of detail on how this record was created.","productinformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Record source detail 2","hs_object_source_detail_2","string","Second level of detail on how this record was created.","productinformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Record source detail 3","hs_object_source_detail_3","string","Third level of detail on how this record was created.","productinformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Record source","hs_object_source_label","enumeration","How this record was created.","productinformation","false","","true","true","false","true","false","true","HubSpot","","0%","",""
"Product Classififcation","hs_product_classification","enumeration","The classification of product.Categorizes your product as either Standalone, Variant or Bundle","productinformation","false","Standalone (standalone); Variant (variant); Bundle (bundle)","true","true","false","false","false","true","HubSpot","","0%","",""
"Product type","hs_product_type","enumeration","The type of product. By default, categorize your product as either Inventory, Non-Inventory or Service.","productinformation","false","Supplies Purchase; Equipment Purchase (inventory); Service (service); Non-Inventory (Software) (noninventory); Non-Inventory (Lease/Bundle) (noninventorybundle); Removal","false","true","false","false","false","true","HubSpot","","0%","",""
"SKU","hs_sku","string","Unique product identifier","productinformation","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Status","hs_status","enumeration","Active or inactive status for a product. Determines whether or not the product will appear in search when creating a line item from a product","productinformation","false","Active (active); Inactive (inactive)","false","true","false","false","false","true","HubSpot","","0%","",""
"Tax Category","hs_tax_category","enumeration","The tax category used to determine what amount of tax to automatically apply to line items created from this product","productinformation","false","","false","true","false","true","false","true","HubSpot","","0%","",""
"Updated by user ID","hs_updated_by_user_id","number","The user who last updated this record. This value is set automatically by HubSpot.","productinformation","false","","true","true","false","true","false","true","HubSpot","","0%","",""
"URL","hs_url","string","Product url.","productinformation","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Owner","hubspot_owner_id","enumeration","The owner of the object.","productinformation","false","","false","true","false","true","false","true","HubSpot","","0%","",""
"Name","name","string","Product name","productinformation","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Quickbooks Income Account","quickbooks_income_account","enumeration","","productinformation","true","Software and Hardware Bundle Income; Software Revenue Income; H&A Lease Income; H&A Purchase Income; Services Income; Service Support Income; Software Subscription Only Income","false","false","false","false","false","false","Lucas Graham","","0%","",""
"Vendor Billed","vendor_billed","number","The amount of this item billed by the vendor.","productinformation","true","","false","false","false","false","false","false","Lucas Graham","","0%","",""
"Stripe Product ID","stripe_product_id","string","The unique identifier for this product in Stripe","stripe_information","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Stripe Product Is Active","stripe_product_is_active","bool","Indicates whether this product is currently active in Stripe","stripe_information","false","Yes (true); No (false)","false","true","false","false","false","true","HubSpot","","0%","",""
"Term","hs_recurring_billing_period","string","Product recurring billing duration","term","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Removal","removal","enumeration","","term","true","Yes (true); No (false)","false","false","false","false","false","false","Lucas Graham","","0%","",""
